,artist,track,msPlayed,track_id,flag,bez
134,Angelo Branduardi,Ballo In Fa Diesis Minore,14072,2Os2zyAXbrv3c8r5L5mhF1,b,Ballo in fa diesis minore
135,Angelo Branduardi,Il Dono Del Cervo,197373,6KnU0D2U1XhRUN2is8A9BP,b,Il dono del cervo
136,Angelo Branduardi,La Favola Degli Aironi,1428,6rTkKEpnSgSLQcqGkCrNu8,b,La favola degli aironi
137,Angelo Branduardi,La Serie Dei Numeri,86400,0Ho3qqm8gxODRoWpC86vgp,b,La serie dei numeri
569,Cheikha Rimitti,Rassoul Allah,2023,5CPMVMJWBGfY7zJwyjZW4l,b,RASSOUL ALLAH
850,Djamel Laroussi,Ahoualik,201706,5Tdnb9tcZnVfNeZ7zXOQEw,b,Ahoualik - Live
853,Djamel Laroussi,Etoile filante - Pt. II,186693,27WuCp0YphT1tieFElg4jO,b,"Etoile Filante, Pt. II - Live"
947,"Emerson, Lake & Palmer",Fanfare for the Common Man - Single Edit,3281,7fJ336lpndYK0Kn1tLPmGC,b,Fanfare for the Common Man (Single Edit)
949,"Emerson, Lake & Palmer",Jeremy Bender - 2012 Remaster,106813,7IMz6jT9GEQRhgVkCqgOWs,b,Jeremy Bender (2012 - Remaster)
950,"Emerson, Lake & Palmer",Knife-Edge - 2012 Remaster,20702,40YavnsUAHbPJKlDJTll3t,b,Knife-Edge (2012 - Remaster)
951,"Emerson, Lake & Palmer",Lucky Man - 2012 Remaster,20814,3JQMYznbHf068xIaWI9GRy,b,Lucky Man (2012 - Remaster)
955,"Emerson, Lake & Palmer",Trilogy - 2015 Remaster,18245,2kxx5POIanA0TXiOnmWRe1,b,Trilogy (2015 Remaster)
969,Erasure,A Little Respect - 2009 - Remaster,163185,6cgtjDIYKm0vJ3EF3QoSSt,b,"A Little Respect - 12"" House Mix; 2009 Remastered Version"
1059,Fleetwood Mac,Man of the World - 1998 Remaster,55466,4w5uF8zRoBOtHDBnt49QqW,b,Man of the World (1998 - Remaster)
1120,Fleetwood Mac,World in Harmony - Alternative Take,206160,4drLcmVlMpmuD0B6lKgGcY,b,World in Harmony (Alternative Take)
1232,Genesis,Anyway,197280,4hzXnPwDueSFf1uq4swA6u,b,Anyway - 2007 Stereo Mix
1233,Genesis,Blood On The Rooftops - 2007 Remaster,18369,7CDqnnlD82rbEGWGyJU3jT,b,Blood on the Rooftops - 2007 Remaster
1234,Genesis,Dance On A Volcano - 2007 - Remaster,165908,0HWHskHvBQnAzJHVvOYMRG,b,Dance on a Volcano - 2007 Remaster
1258,George Harrison,Apple Scruffs - 2014 Remaster,186895,2BrrtZHzZPtbT84FYrdSYP,b,Apple Scruffs (2014 Remaster)
1259,George Harrison,Art of Dying - 2014 Remaster,218802,4oK317kw2NlPN0P149UCfl,b,Art of Dying (2014 Remaster)
1264,George Harrison,Run of the Mill - 2014 Remaster,171698,6sVqehqlRry0goIDS0D0IZ,b,Run of the Mill (2014 Remaster)
1266,George Harrison,Wah-Wah - 2014 Remaster,337750,57cZFx3KlHmx0CNNYbWO8u,b,Wah-Wah (2014 Remaster)
1267,George Harrison,What Is Life - 2014 Remaster,264405,0Nux6Q8aJZ1i4vUpPDBvlX,b,What Is Life (2014 Remaster)
1361,Grateful Dead,Lost Sailor,2434,4nTXzIW8EjH0V1NBxyhatX,b,Lost Sailor - 2013 Remaster
1669,Jean-Michel Jarre,"Equinoxe, Pt. 1",143680,2RvA8lm8iGnDb4uk6e59dU,b,"Équinoxe, Pt. 1"
1672,Jean-Michel Jarre,"Oxygene, Pt. 1",460640,1pCOM5VEp8DKmg8OYJYhHv,b,"Oxygène, Pt. 1"
1785,Jim Croce,I Got a Name - Stereo Version,194493,4UEgKxYLP0bPG6EwD0DgYK,b,I Got a Name (Stereo Version)
1788,Jim Croce,Walkin' Back to Georgia,6405,1y4fbtHSJLqpaQXduQw88e,b,Walkin’ Back to Georgia
1995,Keith Richards,999,350533,581a2oFiO8ye2BzF0WVsJF,b,999 (2022 - Remaster)
2002,Keith Richards,Hate It When You Leave,298951,2CK9U23KHK8aO9ZgMDLLQH,b,Hate It When You Leave (2010 - Remaster)
2005,Keith Richards,Hurricane,85106,7m7YDNE6iRdKVrK0GyLSN7,b,Hurricane (2010 - Remaster)
2007,Keith Richards,I Could Have Stood You Up - 2019 Remaster,193160,4EjspLdRK1hTRjCpB5XUO3,b,I Could Have Stood You Up (2019 Remaster)
2008,Keith Richards,Make No Mistake,10261,50Dn0jUoHqhXxMtFY4iCGp,b,Make No Mistake (2010 - Remaster)
2009,Keith Richards,Rockawhile - 2019 Remaster,279186,2J1rLhgLgWbvsvF6xK5pEv,b,Rockawhile (2019 - Remaster)
2011,Keith Richards,Struggle,252537,1Mbyldn2QAKz0kjaHhwchy,b,Struggle (2010 - Remaster)
2012,Keith Richards,Take It So Hard,196800,2K82npvnQeZF772nbWdUsK,b,Take It So Hard (2010 - Remaster)
2014,Keith Richards,Whip It Up - 2019 Remaster,242146,6JFHZlCrJkvFHBnuWhj4rs,b,Whip It Up (2019 Remaster)
2015,Keith Richards,Wicked As It Seems,285263,1ctbifxOT2htAVAUdnMScf,b,Wicked As It Seems (2010 - Remaster)
2049,Khaled,la camel,190266,02C709ac9c6Usy5Ch2T3Zn,b,La Camel - Live
2412,Mick Fleetwood and Friends,The Green Manalishi (With the Two Prong Crown) [with Billy Gibbons & Kirk Hammett] - Live from The London Palladium,358318,6WvtywkqU0tweLnBm1DDVm,b,"The Green Manalishi (With the Two Prong Crown) (with Billy Gibbons, Kirk Hammett) (Live from The London Palladium)"
2468,Miles Davis,Concierto de Aranjuez: Adagio,980506,4ljGT3hLwkrWWhXGOgZur0,b,Concierto de Aranjuez (Adagio) - Mono Version
2557,Neil Young,Mr. Soul,199240,6IHeq4gT9iRSXhFHrHyiX9,b,Mr Soul (Live)
2887,Popol Vuh,Aguirre I (l'acrime di rei),31012,3AwI3i7cIIM323ViMmMF32,b,Aguirre I (L'Acrime Di Rei)
2937,Procol Harum,She Wandered Through the Garden Fence,206213,6dnXePvKM5M7O1AjGaJOd7,b,She Wandered Through the Garden Fence - 2009 Remaster
3104,Richard Wagner,Walkürenritt,4659,1wBuZHzoo7VbOfi5MWfg5i,b,"Die Walküre, 3. Akt: Walkürenritt (Apocalypse Now): Act III: Ride of the Valkyries"
3364,Steve Reich,Music For 18 Musicians: Section X,37402,5PVCTtP00uCpynF4xvnVlv,b,Music for 18 Musicians: Section X
3406,Sun Ra,West End Side of Magic City,71331,2pWPFuVKr8H3HAch8yqL4X,b,West End Side Of Magic City
3931,The Kinks,Fancy - Stereo Mix,146066,2K0gKg8dBQiEkG5xK9b4y5,b,Fancy (Stereo Mix)
3932,The Kinks,I'm Not Like Everybody Else - Mono Mix,20785,6OfDFOy6hDhN6qHeaCQGBh,b,I'm Not Like Everybody Else (Mono Mix)
3936,The Kinks,Lola - 2020 Stereo Remaster,3869,4Tjs8b6jL1s18sjURJtswp,b,Lola (2020 Stereo Remaster)
3943,The Kinks,Shangri-La - 2019 Remaster,320527,2mEq5IjwOEvohBfU5kLBj5,b,Shangri-La (2019 Remaster)
3946,The Kinks,Strangers - 2020 Stereo Remaster,201022,3hcU1qoBp7OEx1ZchiezDJ,b,Strangers (2020 Stereo Remaster)
3950,The Kinks,This Time Tomorrow - 2020 Stereo Remaster,203973,1gnP3cx9uzFAVll8OfBcqz,b,This Time Tomorrow (2020 Stereo Remaster)
4139,The Rolling Stones,Hide Your Love - 2020,251826,3HA10vklRF61I5B1906K6d,b,Hide Your Love - Giles Martin 2020 Mix
4230,The Rolling Stones,Pretty Beat Up - Remastered,159637,1lJbKjGY6BqP7P7Dg5fdUY,b,Pretty Beat Up - Remastered 2009
4247,The Rolling Stones,She Was Hot - Remastered,281173,7hUlZfirjFpQwzoE5GFwyL,b,She Was Hot - Remastered 2009
4253,The Rolling Stones,Silver Train - 2020,4671,0t3FSBpEMhJCDWnARnNVnw,b,Silver Train - Giles Martin 2020 Mix
4266,The Rolling Stones,Star Star - 2020,263666,5Q55liErm3FTXzxjIpD2rP,b,Star Star - Giles Martin 2020 Mix
4302,The Rolling Stones,Tie You Up (The Pain Of Love) - Remastered,1557,1o34NeG7e8g3pw1WDCqqFv,b,Tie You Up (The Pain Of Love) - Remastered 2009
4537,Tony Allen,Secret Agent - 2022 - Remaster,318400,2iDBHgfEK3mVKO4z3EpLrm,b,Secret Agent (2022 - Remaster)
4541,Toots Thielemans,"Theme from ""Midnight Cowboy""",168973,2wSHZRKI10w2dbFZXOmCzi,b,Theme from Midnight Cowboy - Live
4691,Vangelis,Through the Night Mist,13034,1krI0NrRwDykPwXnliC4mx,b,Vangelis: Through the Night Mist
4821,ZZ Top,I Got the Six - 2008 Remaster,174240,3yYe6csPthNTUCcg6PVGjs,b,I Got the Six (2008 Remaster)
4822,ZZ Top,I Need You Tonight - 2008 Remaster,1700,52Iro1e1FR4w59jyOLawDh,b,I Need You Tonight (2008 Remaster)
4823,ZZ Top,La Grange - 2005 Remaster,9597,0u6JFVn0KHHlidZxNL9gVE,b,La Grange (2005 Remaster)
