,artist,track,msPlayed,track_id
0,Bibi Rezende,Stairway to Dogs,88775,
1,CAN,Millionenspiel,55061,
2,Cedric Harriman,Introduccion,816,
3,Cheb Tahar,KoL Lyoum Nargad Maah,23625,
4,Derek & The Dominos,Got To Get Better In A Little While - Live At Fillmore East,830666,2Pw2LMrWwZrvkQ4SmHEmaJ
5,Donovan,Barabajagal (with Jeff Beck Group),200093,6QiRFf6spEpBxAw2J26tAM
6,Genesis,After The Ordeal - Remastered 2008,255040,7e7y5y7GPhCm6GtjBO2jMk
7,Genesis,Aisle Of Plenty - Remastered 2008,118186,2tQfSfnEFo9OnhYm3mNMj8
8,Genesis,Dancing With The Moonlit Knight - Remastered 2008,483053,75n6R38rfp87ElycXr7OJq
9,Genesis,Firth Of Fifth - Remastered 2008,574840,5OBptQtIlGOG94la7qil6c
10,Genesis,Harold The Barrel - Digital Remastered 2008,10128,
11,Genesis,Home By The Sea - Remastered 2007,307800,0M4XhhlpLOuASct8J8MZe5
12,Genesis,Horizons - Digital Remastered 2008,37721,
13,Genesis,The Cinema Show - Remastered 2008,1238,
14,Genesis,The Musical Box - Remastered 2008,2610,
15,Genesis,The Return Of The Giant Hogweed - Digital Remastered 2008,489480,0vqV7lfbSZ5QDs9qgw3PKZ
16,Genesis,Time Table - Digital Remastered 2008,286360,5Cbh202DB5mDQnzwuNxCLC
17,Genesis,Turn It On Again - Remastered 2007,232040,
18,Genesis,White Mountain - Remastered 2008,2271,
19,Gerd Baumann,Ora et amora,48826,52f2y4EAyVmmkxnMale1b0
20,Gerry Temple,Jam Jar,333855,41AbSCs98zxx6MKHM8yDgz
21,Irmin Schmidt,Rote Erde - Titel Musik,252280,6wXxyCbZvWFUiZsYOd1KEl
22,Karine Upli,Luck,33983,
23,Kraftwerk,Geigerzähler - 2009 Remaster,18563,
24,Kristie DeLuca,Make Me High,1878,
25,Michael Rother,Karussell,18850,
26,Mick Jagger,If Things Could Be Different,289466,
27,Mossalux,Peingzhu,43352,
28,Neil Young,Harvest Moon,48895,
29,Nick Drake,' Cello Song,1567,
30,Nina Simone,My Baby Just Cares for Me - 2013 Remastered Version,197166,
31,Ride,Leave Them All Behind - 2001 Remaster,2601,
32,Salif Keita,San Ka Na,29728,
33,The Guardians of Health,Sand dune coccoon,191632,
34,The Kinks,Dead End Street - Mono Mix,200531,2x92M49LtH9unG2TvMBn2O
35,The Kinks,The Contenders - 2014 Remastered Version,163320,1h4ed9yoZVPQQqckjVOMi8
36,The Kinks,Victoria - Mono Mix,220053,
37,The Yardbirds,Over Under Sideways Down (Stereo Version) - Remastered,143520,
38,Torian Wegener,Loop,132990,
39,Ultimate Spinach,Baroque Dances,165041,
40,Urbxnxd,Coyote,47270,
41,Yusef Lateef,Don't Blame Me - Rudy Van Gelder Remaster,84711,
